,player_name,player_id,season,poss,mp,raptor_offense,raptor_defense,raptor_total,war_total,war_reg_season,war_playoffs,predator_offense,predator_defense,predator_total,pace_impact
11720,Shabazz Napier,napiesh01,2015,1931,1012,-1.9972047819999998,-1.131249928,-3.1284547110000003,-0.194227895,-0.194227895,0.0,-1.4771260309999998,-1.634189864,-3.1113158939999996,-0.577488057
11721,Shabazz Napier,napiesh01,2016,1211,600,-2.503792447,-0.638841483,-3.1426339289999996,-0.120124566,-0.120124566,0.0,-1.6357455680000001,-1.5395506769999998,-3.175296245,-0.055712862
11722,Shabazz Napier,napiesh01,2017,1134,559,1.061483455,-0.29922211600000004,0.762261339,0.993835015,0.793627585,0.20020743,1.940253824,-0.60913517,1.331118654,-0.497092165
11723,Shabazz Napier,napiesh01,2018,3187,1570,-0.561543702,2.5066617069999997,1.945118005,3.7331208989999998,3.7729686489999996,-0.03984775,-0.7070409000000001,2.4406845880000003,1.7336436869999998,-0.74553762
11724,Shabazz Napier,napiesh01,2019,2171,1011,1.748878839,0.681737837,2.4306166769999997,2.653440675,2.2203326690000003,0.433108006,1.571974248,0.07747292900000001,1.6494471769999999,-0.0018179020000000001
11725,Shabazz Napier,napiesh01,2020,2911,1344,-0.490927877,-0.28381163800000003,-0.774739515,1.360591635,1.360591635,0.0,-0.026616605,-0.37654933100000004,-0.403165936,0.63680483
11726,Bob Nash,nashbo01,1978,1824,800,1.083216277,-0.702116167,0.38110011,1.274051295,1.274051295,0.0,0.47444237200000006,-1.606239894,-1.131797522,-0.33292943199999997
11727,Bob Nash,nashbo01,1979,3099,1371,-2.7946232839999996,-1.27139802,-4.0660213039999995,-0.928058105,-0.706672848,-0.221385257,-3.07218852,-2.0788080680000003,-5.150996588,-0.077751616
11728,Steve Nash,nashst01,1997,1373,699,-1.4328385030000002,-2.599385727,-4.03222423,-0.46272670899999996,-0.40379995700000004,-0.058926752,-1.677555607,-2.674337748,-4.351893355,0.497734561
11729,Steve Nash,nashst01,1998,3303,1715,1.6391819230000002,-0.551452575,1.0877293479999999,3.360648473,3.267802258,0.092846216,1.508053211,-0.523356307,0.984696903,-0.001666055
11730,Steve Nash,nashst01,1999,2380,1269,0.9095595209999999,-1.8882809109999998,-0.97872139,1.1443658970000001,1.1443658970000001,0.0,0.855686705,-1.265991965,-0.41030526,-0.19128321199999998
11731,Steve Nash,nashst01,2000,3064,1532,1.8787517919999999,-2.506118279,-0.6273664870000001,1.653863735,1.653863735,0.0,1.496249774,-2.3253503269999998,-0.829100553,-0.297724816
11732,Steve Nash,nashst01,2001,5378,2757,4.326668752,-1.327325343,2.9993434089999997,8.057312608,7.255474921,0.801837688,4.06139987,-1.401311362,2.660088509,-0.44956362899999996
11733,Steve Nash,nashst01,2002,6204,3160,5.295462519,-1.3713461080000002,3.924116412,10.71645694,9.660839833999999,1.055617105,5.173125377,-1.688804578,3.484320798,-0.670503285
11734,Steve Nash,nashst01,2003,6716,3440,5.364861063,-1.804780773,3.56008029,11.04243347,9.260433978,1.781999492,5.227599543999999,-1.690874189,3.536725355,-0.759047163
11735,Steve Nash,nashst01,2004,5530,2809,5.1344955080000005,-1.9766122680000002,3.15788324,8.40865393,7.946243345,0.462410585,4.817822392,-2.075039832,2.74278256,-0.828353937
11736,Steve Nash,nashst01,2005,6410,3183,7.296740757,-1.5414723780000001,5.755268378999999,13.76455241,10.81293737,2.95161504,6.814882796,-1.720810814,5.094071982,-0.949360772
11737,Steve Nash,nashst01,2006,7196,3594,6.510774594,-1.036545506,5.474229089,14.99529771,11.8462849,3.1490128110000004,6.1148575670000005,-1.5122658219999998,4.602591745,-1.037547684
11738,Steve Nash,nashst01,2007,6222,3095,7.520648512999999,-1.200076996,6.320571517,14.20991254,12.51417989,1.69573265,7.176233698,-1.668943335,5.507290362999999,-1.044039085
11739,Steve Nash,nashst01,2008,6022,2963,6.832862505,-1.6228645369999999,5.209997968,11.91703409,11.29941494,0.617619146,6.481103843,-2.060816595,4.420287248,-0.997927887
11740,Steve Nash,nashst01,2009,5025,2484,5.309208839,-1.727677712,3.581531127,7.944455991,7.944455991,0.0,4.972816432,-1.9825714069999998,2.9902450239999996,-0.922065095
11741,Steve Nash,nashst01,2010,6374,3199,6.745587951,-1.9694844630000001,4.776103488,12.21554584,10.03325775,2.182288086,6.434660575,-2.444117664,3.9905429110000004,-1.045070821
11742,Steve Nash,nashst01,2011,4967,2497,6.05089322,-1.280632977,4.770260243,9.46130891,9.46130891,0.0,5.414207667,-1.799742821,3.614464845,-1.160214695
11743,Steve Nash,nashst01,2012,3827,1961,5.021989062,-1.2058169779999999,3.8161720839999997,6.492730438,6.492730438,0.0,4.408024782,-1.8895835930000002,2.5184411890000002,-1.078766914
11744,Steve Nash,nashst01,2013,3355,1688,1.720134705,-1.4850127219999998,0.235121983,2.5477611430000002,2.49183891,0.055922232,1.21385967,-1.637611845,-0.423752175,-0.8611728670000001
11745,Steve Nash,nashst01,2014,672,313,-2.258944097,-1.9427389030000002,-4.201683,-0.23454144899999999,-0.23454144899999999,0.0,-1.6263784540000001,-2.7282200530000003,-4.3545985069999995,1.124722782
11746,Swen Nater,natersw01,1977,4473,1960,1.274947431,0.20697780300000002,1.481925234,4.2181261480000005,4.2181261480000005,0.0,1.373758309,0.18564973,1.559408039,-0.350632416
11747,Swen Nater,natersw01,1978,6106,2778,0.018376003000000002,-0.41551723799999996,-0.397141235,3.323743507,3.323743507,0.0,0.21568587600000003,-0.186777711,0.028908164,-0.35786642799999996
11748,Swen Nater,natersw01,1979,4493,2006,0.873317765,-1.4385825840000002,-0.565264819,2.233953586,2.233953586,0.0,0.788451571,-1.4119153219999998,-0.62346375,-0.09756997
11749,Swen Nater,natersw01,1980,6111,2860,0.36900857299999995,-1.127335486,-0.758326913,2.893264517,2.893264517,0.0,0.38633777700000005,-0.9293345590000001,-0.542996782,-0.464159586
