slug,name,positions,age,team,games_played,minutes_played,player_efficiency_rating,true_shooting_percentage,three_point_attempt_rate,free_throw_attempt_rate,offensive_rebound_percentage,defensive_rebound_percentage,total_rebound_percentage,assist_percentage,steal_percentage,block_percentage,turnover_percentage,usage_percentage,offensive_win_shares,defensive_win_shares,win_shares,win_shares_per_48_minutes,offensive_box_plus_minus,defensive_box_plus_minus,box_plus_minus,value_over_replacement_player,is_combined_totals
spencfe01,Felton Spencer,CENTER,30,GOLDEN STATE WARRIORS,68,813,8.5,0.495,0.0,0.612,11.9,18.0,14.8,3.2,1.5,3.1,23.0,11.4,-0.2,1.0,0.9,0.052,-6.5,0.7,-5.9,-0.8,False
sprewla01,Latrell Sprewell,SHOOTING GUARD,27,GOLDEN STATE WARRIORS,14,547,15.1,0.47,0.173,0.339,1.3,8.8,5.0,24.1,1.8,0.6,12.1,28.9,0.0,0.4,0.4,0.033,0.5,-0.5,0.0,0.3,False
stackje01,Jerry Stackhouse,SMALL FORWARD,23,PHILADELPHIA 76ERS,22,748,14.9,0.539,0.163,0.357,4.3,7.4,5.8,16.4,2.2,2.1,18.4,24.1,0.3,0.6,0.9,0.056,0.2,-0.5,-0.3,0.3,False
stackje01,Jerry Stackhouse,SHOOTING GUARD,23,DETROIT PISTONS,57,1797,16.8,0.53,0.215,0.504,5.1,7.5,6.3,17.5,1.8,1.6,15.1,25.8,2.2,1.7,3.8,0.103,1.6,-0.7,0.9,1.3,False
starkjo01,John Starks,SHOOTING GUARD,32,NEW YORK KNICKS,82,2188,14.3,0.504,0.42,0.248,2.6,10.0,6.3,18.1,1.9,0.2,12.0,25.6,1.5,3.1,4.6,0.101,0.4,0.3,0.7,1.5,False
stephjo01,Joe Stephens,SMALL FORWARD,25,HOUSTON ROCKETS,7,37,17.7,0.441,0.357,0.214,9.7,9.5,9.6,5.7,2.9,0.0,6.1,40.0,0.0,0.0,0.0,-0.01,3.4,-3.7,-0.2,0.0,False
stewake01,Kebu Stewart,POWER FORWARD,24,PHILADELPHIA 76ERS,15,110,14.0,0.541,0.0,0.962,9.3,23.2,16.2,3.0,2.4,1.3,17.8,18.4,0.1,0.2,0.2,0.098,-1.6,0.1,-1.4,0.0,False
stewami01,Michael Stewart,CENTER,22,SACRAMENTO KINGS,81,1761,12.9,0.486,0.0,0.44,12.2,21.9,16.9,5.2,0.9,7.5,18.1,11.9,0.4,2.6,3.0,0.081,-3.3,1.9,-1.4,0.3,False
stithbr01,Bryant Stith,SHOOTING GUARD,27,DENVER NUGGETS,31,718,9.2,0.447,0.213,0.382,2.4,8.4,5.3,12.1,1.6,0.8,11.8,18.9,-0.2,-0.1,-0.3,-0.018,-2.8,-1.6,-4.4,-0.4,False
stockjo01,John Stockton,POINT GUARD,35,UTAH JAZZ,64,1858,21.8,0.628,0.178,0.452,2.5,8.2,5.6,47.8,2.6,0.4,20.8,19.3,6.4,1.6,8.0,0.206,5.5,0.2,5.6,3.6,False
